kingdom	phylum	class	order_	family	v_kingdom	v_phylum	v_class	v_order	v_family	v_genus	kingdomkey	phylumkey	orderkey	classkey	familykey	scientificname	v_scientificname	publisher_rank	taxonrank	occ_count	n_dataset	n_publisher	datasetkeys
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Graphis	5					Fungi	Graphis scripta	SPECIES	KINGDOM	300	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Hypogymnia	5					Fungi	Hypogymnia physodes	SPECIES	KINGDOM	298	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae					Annonaceae	annona	6	7707728	718	220	9291	Annonaceae	Annonaceae annona neosalicifolia h. rainer	SPECIES	FAMILY	280	3	1	cde44dc3-3b14-49d9-840b-5073d5284e9e;4bda7e86-c7c0-440e-bed4-bde6c52a28c2;b4a9aba3-9d66-4bdd-8e4b-ab42b11e69fd
Plantae					Plantae		Algae		Algae	Nostoc	6					Plantae	Nostoc commune Vaucher ex Bornet & Flahault	SPECIES	KINGDOM	280	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Animalia	Chordata	Reptilia	Squamata	Scincidae	Animalia	Chordata	Reptilia	Squamata	Scincidae	Austroablepharus	1	44	715	358	9115	Scincidae	Austroablepharus kinghorni	SPECIES	FAMILY	272	9	9	fa375330-6c8a-11de-8226-b8a03c50a862;0debafd0-6c8a-11de-8225-b8a03c50a862;e4473544-f4cd-4429-b791-39d6e1fdb0a4;358fbd61-739f-4102-afc9-9d468f571e4d;dce8feb0-6c89-11de-8225-b8a03c50a862;0645ccdb-e001-4ab0-9729-51f1755e007e;793c3890-6c8a-11de-8226-b8a03c50a862;a79c2b50-6c8a-11de-8226-b8a03c50a862;40c0f670-ee87-4576-be9d-2725e0b47035
Plantae					Plantae		Algae		Algae	Coccochloris	6					Plantae	Coccochloris stagnina Spreng.	SPECIES	KINGDOM	251	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	copaifera	6	7707728	1370	220	5386	Fabaceae	Fabaceae copaifera reticulata benth.	SPECIES	FAMILY	251	1	1	af0ac0ba-b895-47a2-ac64-30517f109c33
Plantae					Plantae		Algae		Algae	Chylocladia	6					Plantae	Chylocladia verticillata (Lightf.) Papenf.	SPECIES	KINGDOM	245	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae					Plantae		Algae		Algae	Lyngbya	6					Plantae	Lyngbya semiplena (C.Agardh) J.Agardh	SPECIES	KINGDOM	244	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Lobaria	5					Fungi	Lobaria pulmonaria	SPECIES	KINGDOM	242	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae					Plantae		Algae		Algae	Lyngbya	6					Plantae	Lyngbya majuscula (Dillwyn) Harv.	SPECIES	KINGDOM	232	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Cladina	5					Fungi	Cladina mitis	SPECIES	KINGDOM	232	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Cladonia	5					Fungi	Cladonia uncialis	SPECIES	KINGDOM	229	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Khaya	6	7707728	933	220	2397	Meliaceae	Kaya senegalensis	SPECIES	FAMILY	227	1	1	60954cb1-3b60-48e7-a2c1-75ffcb6d16cd
Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae					Malvaceae	sida	6	7707728	941	220	6685	Malvaceae	Malvaceae sida acuta Bors.Waalk.	SPECIES	FAMILY	227	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Rhodophyta	Rhodophyceae			Plantae		Rhodophyceae		Rhodophyceae inc. sed.	Polysiphonia	6	106		8029077		Rhodophyceae	Polysiphonia violacea (Roth) Grev.	SPECIES	CLASS	223	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae					Plantae		Algae		Algae	Microcoleus	6					Plantae	Microcoleus chthonoplastes (Mert.) Desm.	SPECIES	KINGDOM	222	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Cladonia	5					Fungi	Cladonia squamosa	SPECIES	KINGDOM	218	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae					Gentianaceae	chelonanthus	6	7707728	412	220	2503	Gentianaceae	Gentianaceae chelonanthus purpurascens (aubl.) struwe, s.nilsson & v.a.albert	SPECIES	FAMILY	218	4	1	f5d836d5-cb15-4178-8f57-68ef1d6551e9;6cb1a437-f8a6-4bdc-a534-87cf2b710427;9118eee0-42d2-4a27-9ae0-78d49d163a5b;a185d0c4-1a12-45c1-a729-2a7b058b528d
