kingdom	phylum	class	order_	family	v_kingdom	v_phylum	v_class	v_order	v_family	v_genus	kingdomkey	phylumkey	orderkey	classkey	familykey	scientificname	v_scientificname	publisher_rank	taxonrank	occ_count	n_dataset	n_publisher	datasetkeys
Plantae					Plantae		Algae		Algae	Dichothrix	6					Plantae	Dichothrix baueriana (Grunow) Bornet & Flahault	SPECIES	KINGDOM	21	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae				Pteridophyta					Pteridophyta	Adiantopsis	6				6027660	Pteridophyta	Pteridophyta Adiantopsis regularis (Kunze) T.Moore	SPECIES	FAMILY	21	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae					Poaceae	mesosetum	6	7707728	1369	196	3073	Poaceae	Poaceae mesosetum loliiforme	SPECIES	FAMILY	21	2	1	02cb399f-3283-49fa-bce0-627c7f83083f;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae					Myristicaceae	virola	6	7707728	718	220	2439	Myristicaceae	Myristicaceae virola sebifera	SPECIES	FAMILY	21	3	1	02cb399f-3283-49fa-bce0-627c7f83083f;a185d0c4-1a12-45c1-a729-2a7b058b528d;bcf92a29-8c8d-4938-aa53-554ee99116ac
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					leguminosae subfam. caesalpinioideae (mimosoide)	Blanchetiodendron	6	7707728	1370	220	5386	Leguminosae	leguminosae subfam. caesalpinioideae (mimosoide) Blanchetiodendron blanchetii (Benth.) Barneby & J.W.Grimes	SPECIES	FAMILY	21	1	1	6cb1a437-f8a6-4bdc-a534-87cf2b710427
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae					Acanthaceae	justicia	6	7707728	408	220	2393	Acanthaceae	Acanthaceae justicia fragilis wall. ex c.b.clarke	SPECIES	FAMILY	21	1	1	c755bc4d-35da-4bf5-8026-53324410b17e
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Passifloraceae					Passifloraceae	piriqueta	6	7707728	1414	220	2378	Passifloraceae	Passifloraceae piriqueta aurea (a.st.-hil., a.juss. & cambess.) urb.	SPECIES	FAMILY	21	2	1	f5d836d5-cb15-4178-8f57-68ef1d6551e9;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae					Dryopteridaceae	elaphoglossum	6	7707728	392	7228684	2373	Dryopteridaceae	Dryopteridaceae elaphoglossum lingua (presl.) brack	SPECIES	FAMILY	21	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Animalia	Chordata	Reptilia	Squamata	Xenopeltidae	Animalia	Chordata	Reptilia	OPHIDIA	XENOPELTIDAE	XENOPELTIS	1	44	715	358	9117	Xenopeltidae	XENOPELTIS UNICOLOR	SPECIES	FAMILY	21	1	1	8e479b8f-ac16-4bed-a11a-bc7e27c31663
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Umbilicaria	5					Fungi	Umbilicaria polyphylla	SPECIES	KINGDOM	21	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae					Cyperaceae	kyllinga	6	7707728	1369	196	7708	Cyperaceae	Cyperaceae kyllinga umbellata rottb.	SPECIES	FAMILY	21	1	1	803eb96c-4779-41e3-a511-fd124732774f
Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae					Campanulaceae	siphocampylus	6	7707728	414	220	8801	Campanulaceae	Campanulaceae siphocampylus macropodus (billb.) g. don.	SPECIES	FAMILY	21	1	1	02cb399f-3283-49fa-bce0-627c7f83083f
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Malpighiaceae					Malpighiaceae	banisteriopsis	6	7707728	1414	220	6676	Malpighiaceae	Malpighiaceae banisteriopsis muricata (c.c.davis) cuatrec.	SPECIES	FAMILY	21	1	1	67f33aea-2c4b-475b-b243-91ca1b9dd29a
Plantae	Tracheophyta	Magnoliopsida	Ericales	Symplocaceae					Symplocaceae	symplocos	6	7707728	1353	220	6708	Symplocaceae	Symplocaceae symplocos pubescens klotzsch. ex benth.	SPECIES	FAMILY	21	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Santalales	Olacaceae					Olacaceae	tetrastylidium	6	7707728	934	220	6662	Olacaceae	Olacaceae tetrastylidium grandifolium (baill.)sleum.	SPECIES	FAMILY	21	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Liliopsida	Poales	Eriocaulaceae					Eriocaulaceae	syngonanthus	6	7707728	1369	196	3741	Eriocaulaceae	Eriocaulaceae syngonanthus verticillatus (bong.) ruhl.	SPECIES	FAMILY	21	2	1	02cb399f-3283-49fa-bce0-627c7f83083f;5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae					Bromeliaceae	aechmea	6	7707728	1369	196	3740	Bromeliaceae	Bromeliaceae aechmea nudicaulis (l.) grisebach	SPECIES	FAMILY	21	4	1	14ef7ae8-1bab-4af7-915c-7c146b117c91;02cb399f-3283-49fa-bce0-627c7f83083f;8766db9d-86a9-4db5-81ff-d3632826d5b9;143fd714-b939-4cf7-a078-acdde353a914
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae					Euphorbiaceae	hevea	6	7707728	1414	220	4691	Euphorbiaceae	Euphorbiaceae hevea brasiliensis muell. arg.	SPECIES	FAMILY	21	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae					Lauraceae	ocotea	6	7707728	407	220	6688	Lauraceae	Lauraceae ocotea pulchella (ness & mart.) mez	SPECIES	FAMILY	21	1	1	25d9c44f-9a42-4292-85ca-c4118198d76c
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae					Sapindaceae	thinouia	6	7707728	933	220	6657	Sapindaceae	Sapindaceae thinouia mucronata	SPECIES	FAMILY	21	2	1	02cb399f-3283-49fa-bce0-627c7f83083f;3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae					Plantae		Algae		Algae	Cladostephus	6					Plantae	Cladostephus hedwigioides Bory	SPECIES	KINGDOM	21	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae					Plantae		Algae		Algae	Schizothrix	6					Plantae	Schizothrix coriacea Gomont	SPECIES	KINGDOM	20	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae					Poaceae	olyra	6	7707728	1369	196	3073	Poaceae	Poaceae olyra latifolia	SPECIES	FAMILY	20	2	1	02cb399f-3283-49fa-bce0-627c7f83083f;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae					Plantae		Algae		Algae	Laurencia	6					Plantae	Laurencia flexuosa Kütz.	SPECIES	KINGDOM	20	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae					Sapindaceae	cupania	6	7707728	933	220	6657	Sapindaceae	Sapindaceae cupania macrostylis	SPECIES	FAMILY	20	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae					Bignoniaceae	fridericia	6	7707728	408	220	6655	Bignoniaceae	Bignoniaceae fridericia caudigera (s. moore) l.g. lohmann	SPECIES	FAMILY	20	3	1	c0a459c6-2ae7-4890-a1e4-38e24e671269;8766db9d-86a9-4db5-81ff-d3632826d5b9;143fd714-b939-4cf7-a078-acdde353a914
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Plantae				Guttiferae	Guttiferae	6	7707728	1414	220	4900406	Guttiferae	Guttiferae macrophylla	SPECIES	FAMILY	20	1	1	834c9918-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	machaerium	6	7707728	1370	220	5386	Fabaceae	Fabaceae machaerium angustifolium mart. ex benth.	SPECIES	FAMILY	20	1	1	c0a459c6-2ae7-4890-a1e4-38e24e671269
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	cratylia	6	7707728	1370	220	5386	Fabaceae	Fabaceae cratylia isopetala (Lam.) L.P.Queiroz	SPECIES	FAMILY	20	3	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b;6cb1a437-f8a6-4bdc-a534-87cf2b710427;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	muellera	6	7707728	1370	220	5386	Fabaceae	Fabaceae muellera campestris (mart. ex benth.) m.j. silva | a.azevedo	SPECIES	FAMILY	20	1	1	8766db9d-86a9-4db5-81ff-d3632826d5b9
Plantae					Plantae		Algae		Algae	Calothrix	6					Plantae	Calothrix fusca (Kütz.) Bornet & Flahault	SPECIES	KINGDOM	20	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae					Gentianaceae	chelonanthus	6	7707728	412	220	2503	Gentianaceae	Gentianaceae chelonanthus purpurascens (aubl.) struwe, nilson & v.a. albert	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Fungi	Ascomycota	Pezizomycetes	Pezizales		Fungi				Pezizales	Peziza	5	95	1057	316		Pezizales	Peziza endocarpoides (Berk.) Rifai	SPECIES	ORDER	20	1	1	85b2fcd8-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Magnoliopsida	Brassicales	Stixaceae					Capparidaceae	Capparis	6	7707728	7225535	220	4087083	Capparidaceae	Capparidaceae Capparis flexuosa (L.) L.	SPECIES	FAMILY	20	1	1	f5d836d5-cb15-4178-8f57-68ef1d6551e9
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae					Rubiaceae	rudgea	6	7707728	412	220	8798	Rubiaceae	Rubiaceae rudgea sclerocalyx	SPECIES	FAMILY	20	2	1	bcf92a29-8c8d-4938-aa53-554ee99116ac;ebed4456-76d2-408c-8467-fd66be066521
Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae					Solanaceae	brugmansia	6	7707728	1176	220	7717	Solanaceae	Solanaceae brugmansia suaveolens (h. & b. ex willd.) bercht. & presl.	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae					Cyatheaceae	cyanthea	6	7707728	7229402	7228684	6624	Cyatheaceae	Cyatheaceae cyanthea atrovirens	SPECIES	FAMILY	20	1	1	2ad00feb-1283-40d4-8352-0e4055f31773
Plantae	Tracheophyta	Magnoliopsida	Santalales	Loranthaceae					Loranthaceae	eubrachion	6	7707728	934	220	6663	Loranthaceae	Loranthaceae eubrachion ambiguum (hook. & arn.) engler	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae					Celastraceae	salacia	6	7707728	950	220	6715	Celastraceae	Celastraceae salacia grandifolia (mart.) g.don	SPECIES	FAMILY	20	4	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1;e6694e54-1cd6-4527-a26e-387518ea550a;f5d836d5-cb15-4178-8f57-68ef1d6551e9;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	chamaecrista	6	7707728	1370	220	5386	Fabaceae	Fabaceae chamaecrista debilis (vogelvogel) irwinirwin & barneby & barneby	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					leguminosae caesalpinoideae	Senna	6	7707728	1370	220	5386	Leguminosae	leguminosae caesalpinoideae Senna macranthera (Collad.) H.S.Irwin & Barneby	SPECIES	FAMILY	20	1	1	143fd714-b939-4cf7-a078-acdde353a914
Plantae				Pteridophyta					Pteridophyta	Anemia	6				6027660	Pteridophyta	Pteridophyta Anemia hirsuta (L.) Sw.	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	miconia	6	7707728	690	220	6683	Melastomataceae	Melastomataceae miconia paniculata (dc.)naudin	SPECIES	FAMILY	20	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae					Blechnaceae	telmatoblechnum	6	7707728	392	7228684	2374	Blechnaceae	Blechnaceae telmatoblechnum serrulatum (rich.) perrie, ohlsen & brownsey	SPECIES	FAMILY	20	1	1	75ffc475-3a0c-456d-b394-314489709e88
Plantae	Chlorophyta	Ulvophyceae	Trentepohliales	Chroolepidaceae					CHROOLEPIDACEAE	Pilinia	6	36	638	195	5271552	Chroolepidaceae	Pilinia novae-zelandiae (V.J.Chapm.) Papenf. & K.C.Fan ex Papenf.	SPECIES	FAMILY	20	1	1	83ae84cf-88e4-4b5c-80b2-271a15a3e0fc
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	vernonia	6	7707728	414	220	3065	Asteraceae	Asteraceae vernonia balansae Hieron.	SPECIES	FAMILY	20	6	1	803eb96c-4779-41e3-a511-fd124732774f;02cb399f-3283-49fa-bce0-627c7f83083f;cde44dc3-3b14-49d9-840b-5073d5284e9e;c0a459c6-2ae7-4890-a1e4-38e24e671269;9118eee0-42d2-4a27-9ae0-78d49d163a5b;ebed4456-76d2-408c-8467-fd66be066521
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Erythroxylaceae					Erythroxylaceae	erythroxylum	6	7707728	1414	220	6686	Erythroxylaceae	Erythroxylaceae erythroxylum amplifolium (mart.) o.e. schultz	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae					Bromeliaceae	tillandsia	6	7707728	1369	196	3740	Bromeliaceae	Bromeliaceae tillandsia crocata (morren) baker	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae					Euphorbiaceae	jatropha	6	7707728	1414	220	4691	Euphorbiaceae	Euphorbiaceae jatropha elliptica (Pohl) Müll.Arg.	SPECIES	FAMILY	20	3	1	803eb96c-4779-41e3-a511-fd124732774f;1aedcdff-24f2-4925-8e55-23eeef236b0d;9118eee0-42d2-4a27-9ae0-78d49d163a5b
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Leptogium	5					Fungi	Leptogium denticulatum	SPECIES	KINGDOM	20	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	leandra	6	7707728	690	220	6683	Melastomataceae	Melastomataceae leandra cuneata (mart.)cogn.	SPECIES	FAMILY	20	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	vachellia	6	7707728	1370	220	5386	Fabaceae	Fabaceae vachellia farnesiana (l.) willd.	SPECIES	FAMILY	20	1	1	67f33aea-2c4b-475b-b243-91ca1b9dd29a
Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae					Solanaceae	schwenckia	6	7707728	1176	220	7717	Solanaceae	Solanaceae schwenckia americana d. royen ex l.	SPECIES	FAMILY	20	2	1	97802be9-3e72-4468-8611-0c9cd3a905a7;c0a459c6-2ae7-4890-a1e4-38e24e671269
Plantae	Tracheophyta	Polypodiopsida	Ophioglossales	Ophioglossaceae					Ophioglossaceae	cheiroglossa	6	7707728	393	7228684	6627	Ophioglossaceae	Ophioglossaceae cheiroglossa palmata (l.) c. presl	SPECIES	FAMILY	20	4	1	5c9a924c-8d45-4452-8604-415a118578aa;3cb7fc60-aa95-4556-b987-b7f6f593b9a1;7fde5656-64fd-4442-ae89-60becebc29a6;143fd714-b939-4cf7-a078-acdde353a914
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae					Lamiaceae	condea	6	7707728	408	220	2497	Lamiaceae	Lamiaceae condea fastigiata (benth.) harley & j.f.b.pastore	SPECIES	FAMILY	20	2	1	e7b96ed9-da1c-4eec-a481-281b1b319e48;f5d836d5-cb15-4178-8f57-68ef1d6551e9
Plantae				Pteridophyta					Pteridophyta	Eriosorus	6				6027660	Pteridophyta	Pteridophyta Eriosorus sellowianus (Mett. ex Kuhn) Copel.	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Lecidea	5					Fungi	Lecidea plana	SPECIES	KINGDOM	20	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Lycopodiopsida	Lycopodiales	Lycopodiaceae					Lycopodiaceae	lycopodiella	6	7707728	421	245	6725	Lycopodiaceae	Lycopodiaceae lycopodiella caroliniana (l.) pichi-dermolli	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	baccharis	6	7707728	414	220	3065	Asteraceae	Asteraceae baccharis minutiflora mart. ex baker in mart.	SPECIES	FAMILY	20	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae					Bignoniaceae	handroanthus	6	7707728	408	220	6655	Bignoniaceae	Bignoniaceae handroanthus capitatus (bureau & k. schum.) mattos	SPECIES	FAMILY	20	2	1	c0a459c6-2ae7-4890-a1e4-38e24e671269;f68d90e0-46dd-4ac4-acac-ade9d2645886
Animalia	Nematoda	Secernentea	Tylenchida	Tylenchidae	Animalia	Nematoda	Chromadorea	Panagrolaimida	Tylodoridae	Arboritynchus	1	5967481	972	250	6463	Tylodoridae	Arboritynchus simpsoni	SPECIES	FAMILY	20	1	1	2a796d4b-d12f-4806-876a-4fbb5e0a63ca
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae					Polypodiaceae	lellingeria	6	7707728	392	7228684	2368	Polypodiaceae	Polypodiaceae lellingeria brevistipes (mett.) a.r.sm. & r.c.moran	SPECIES	FAMILY	20	1	1	339e9de5-ee9a-4718-8837-0bc5b4f933f5
Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Fungi	Fungi	Fungi	Fungi	Moniliaceae	Ramularia	5	95	1052	179	8385	Moniliaceae	Ramularia taraxaci	SPECIES	FAMILY	20	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	aldama	6	7707728	414	220	3065	Asteraceae	Asteraceae aldama bracteata (gardner) e.e.shill & panero	SPECIES	FAMILY	20	1	1	1aedcdff-24f2-4925-8e55-23eeef236b0d
Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae					Lauraceae	ocotea	6	7707728	407	220	6688	Lauraceae	Lauraceae ocotea gracilis	SPECIES	FAMILY	20	1	1	a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Protoctista				Ceramiaceae	Griffithsia	6	106	665	342	8968	Ceramiaceae	Griffithsia metcalfii	SPECIES	FAMILY	20	1	1	b929f23d-290f-4e85-8f17-764c55b3b284
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae					Euphorbiaceae	euphorbia	6	7707728	1414	220	4691	Euphorbiaceae	Euphorbiaceae euphorbia papillosa st. hil.	SPECIES	FAMILY	20	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	maieta	6	7707728	690	220	6683	Melastomataceae	Melastomataceae maieta poeppigii	SPECIES	FAMILY	20	1	1	a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae					Orobanchaceae	esterhazya	6	7707728	408	220	6651	Orobanchaceae	Orobanchaceae esterhazya campestris (mart.) benth.	SPECIES	FAMILY	20	3	1	9e54731f-ca52-4389-95cb-e4feedc7593e;df815212-bca8-45c8-b006-ba7bded25217;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Liliopsida	Alismatales	Alismataceae					Alismataceae	echinodorus	6	7707728	551	196	3720	Alismataceae	Alismataceae echinodorus glandulosus rataj.	SPECIES	FAMILY	20	1	1	c755bc4d-35da-4bf5-8026-53324410b17e
Plantae				Pteridophyta					Pteridophyta	Diplazium	6				6027660	Pteridophyta	Pteridophyta Diplazium longipes Fée	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae					Myrtaceae	myrcia	6	7707728	690	220	5014	Myrtaceae	Myrtaceae myrcia hatschbachii c.d.legrand	SPECIES	FAMILY	20	1	1	339e9de5-ee9a-4718-8837-0bc5b4f933f5
Plantae				Pteridophyta					Pteridophyta	Cyathea	6				6027660	Pteridophyta	Pteridophyta Cyathea cyatheoides (Desv.) K.U.Kramer	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Zygophyllales	Zygophyllaceae					Zygophyllaceae	larrea	6	7707728	7219293	220	2394	Zygophyllaceae	Zygophyllaceae larrea divaricata cav.	SPECIES	FAMILY	20	4	1	5c9a924c-8d45-4452-8604-415a118578aa;af0ac0ba-b895-47a2-ac64-30517f109c33;f5d836d5-cb15-4178-8f57-68ef1d6551e9;6cb1a437-f8a6-4bdc-a534-87cf2b710427
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Pteridaceae					Pteridaceae	tryonia	6	7707728	392	7228684	2367	Pteridaceae	Pteridaceae tryonia myriophylla (sw.) schuettp. et al.	SPECIES	FAMILY	20	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae				Pteridophyta					Pteridophyta	Campyloneurum	6				6027660	Pteridophyta	Pteridophyta Campyloneurum rigidum J.Sm.	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae					Bromeliaceae	aechmea	6	7707728	1369	196	3740	Bromeliaceae	Bromeliaceae aechmea miniata (beer.) hortus ex baker	SPECIES	FAMILY	20	1	1	67f33aea-2c4b-475b-b243-91ca1b9dd29a
Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae					Urticaceae	boehmeria	6	7707728	691	220	6639	Urticaceae	Urticaceae boehmeria cylindrica (L.) Willd.	SPECIES	FAMILY	20	2	1	af0ac0ba-b895-47a2-ac64-30517f109c33;9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae					Solanaceae	petunia	6	7707728	1176	220	7717	Solanaceae	Solanaceae petunia bajeensis t. ando & hashim.	SPECIES	FAMILY	20	3	1	5c9a924c-8d45-4452-8604-415a118578aa;f68d90e0-46dd-4ac4-acac-ade9d2645886;4bda7e86-c7c0-440e-bed4-bde6c52a28c2
Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae					Ericaceae	gaylussacia	6	7707728	1353	220	2505	Ericaceae	Ericaceae gaylussacia incana	SPECIES	FAMILY	20	1	1	02cb399f-3283-49fa-bce0-627c7f83083f
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	fleischmannia	6	7707728	414	220	3065	Asteraceae	Asteraceae fleischmannia remotifolia (dc.) r.m. king & h. rob.	SPECIES	FAMILY	20	3	1	c71c8000-9fc7-422c-804a-ce6abe751771;c0a459c6-2ae7-4890-a1e4-38e24e671269;3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Animalia	Arthropoda		Sarcoptiformes	Pteronyssidae	Animalia	Arthropoda von Siebold, 1848	Arachnida Lamarck, 1801	Astigmata G. Canestrini, 1891	Pteronyssidae	Passeronyssus Fain, 1960	1	54	542		3252704	Pteronyssidae	Passeronyssus hypocherae Fain, 1963	SPECIES	FAMILY	20	1	1	8138eb72-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae					Onagraceae	ludwigia	6	7707728	690	220	2430	Onagraceae	Onagraceae ludwigia laroutteana (cambess.) h. hara	SPECIES	FAMILY	20	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	inulopsis	6	7707728	414	220	3065	Asteraceae	Asteraceae inulopsis scaposa (remy) o. hoffm.	SPECIES	FAMILY	20	1	1	f68d90e0-46dd-4ac4-acac-ade9d2645886
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae					Rubiaceae	faramea	6	7707728	412	220	8798	Rubiaceae	Rubiaceae faramea martiana mull. arg.	SPECIES	FAMILY	20	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae					Polygalaceae	polygala	6	7707728	1370	220	2417	Polygalaceae	Polygalaceae polygala martiana (a.w.) benn	SPECIES	FAMILY	20	1	1	67f33aea-2c4b-475b-b243-91ca1b9dd29a
Plantae					Plantae		Algae		Algae	Phormidium	6					Plantae	Phormidium valderianum Gomont	SPECIES	KINGDOM	20	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae				Pteridophyta					Pteridophyta	Anemia	6				6027660	Pteridophyta	Pteridophyta Anemia radicans Raddi	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Lycopodiopsida	Isoetales	Isoetaceae					Isoetaceae	isoetes	6	7707728	951	245	3074	Isoetaceae	Isoetaceae isoetes serracarajensis j.b.s.pereira, salino & stützel	SPECIES	FAMILY	20	1	1	339e9de5-ee9a-4718-8837-0bc5b4f933f5
Plantae	Tracheophyta	Liliopsida	Liliales	Smilacaceae					Smilacaceae	smilax	6	7707728	1172	196	7702	Smilacaceae	Smilacaceae smilax polyantha grisebach	SPECIES	FAMILY	20	1	1	14ef7ae8-1bab-4af7-915c-7c146b117c91
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	arachis	6	7707728	1370	220	5386	Fabaceae	Fabaceae arachis lutescens krapov. & w.c.greg.	SPECIES	FAMILY	20	1	1	a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae					Rubiaceae	palicourea	6	7707728	412	220	8798	Rubiaceae	Rubiaceae palicourea macrobotrys (ruíz | pav.) schult.	SPECIES	FAMILY	20	1	1	8766db9d-86a9-4db5-81ff-d3632826d5b9
Plantae				Pteridophyta					Pteridophyta	Adiantum	6				6027660	Pteridophyta	Pteridophyta Adiantum terminatum Kunze ex Miq.	SPECIES	FAMILY	20	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
